iter	Logloss
0	0.6718622735
1	0.6465259587
2	0.6342405377
3	0.6207236662
4	0.605897733
5	0.5876638104
6	0.5705290614
7	0.5589096968
8	0.5481829247
9	0.5369527646
10	0.5299591167
11	0.52087919
12	0.5073732994
13	0.5004708283
14	0.494112668
15	0.4859222734
16	0.4786720777
17	0.4698393814
18	0.4616945229
19	0.4550521346
20	0.4471367726
21	0.4400517896
22	0.4357883836
23	0.4331180324
24	0.4264198896
25	0.4206319886
26	0.4144671665
27	0.407178399
28	0.4018975965
29	0.3986721225
30	0.3942076946
31	0.3888397001
32	0.3832909908
33	0.3787952882
34	0.3765286041
35	0.3735644865
36	0.370715623
37	0.3680242735
38	0.3641584244
39	0.3613812399
40	0.3592111267
41	0.3554334534
42	0.3532121836
43	0.3512511303
44	0.3488586102
45	0.3460338047
46	0.342810244
47	0.3393493188
48	0.336613831
49	0.3344861965
50	0.3317523467
51	0.3296958669
52	0.3278435031
53	0.325474536
54	0.3231800719
55	0.3214821862
56	0.3187364084
57	0.3174095457
58	0.3148051798
59	0.3134587075
60	0.3121500208
61	0.3102307167
62	0.3087670366
63	0.3065022099
64	0.3045841506
65	0.3022413667
66	0.3007514333
67	0.2981462039
68	0.296322968
69	0.2952944265
70	0.2930850323
71	0.2922317231
72	0.2899874803
73	0.2886285562
74	0.2866236018
75	0.2856807055
76	0.2842794568
77	0.2827032112
78	0.2810509021
79	0.2795993775
80	0.2777932723
81	0.2752360602
82	0.2736881468
83	0.2714267996
84	0.2698180125
85	0.2683475233
86	0.2670577725
87	0.2657832094
88	0.2644538247
89	0.2625598071
90	0.2604744517
91	0.2591372142
92	0.2570374064
93	0.2548324159
94	0.2540582004
95	0.2524369999
96	0.2507770003
97	0.2490579928
98	0.2478070611
99	0.2461737191
100	0.2452875818
101	0.2439756825
102	0.2428704798
103	0.2415427107
104	0.2402384355
105	0.2383327087
106	0.2362327005
107	0.2348913144
108	0.2338707159
109	0.2330367015
110	0.2312531592
111	0.2302338042
112	0.2291301356
113	0.2281761232
114	0.2268153374
115	0.2257780339
116	0.2247750579
117	0.2239700083
118	0.2228699841
119	0.221641554
120	0.2200464207
121	0.2179239309
122	0.2168113618
123	0.2153081275
124	0.214573717
125	0.2136508073
126	0.212518891
127	0.2116625164
128	0.2103296344
129	0.2098306331
130	0.2092711718
131	0.2081454171
132	0.2073229274
133	0.2061377989
134	0.2052186241
135	0.2038348496
136	0.2030178047
137	0.2010548746
138	0.2002542681
139	0.1997257793
140	0.1982684017
141	0.1972089866
142	0.1955393605
143	0.1940529756
144	0.1932103347
145	0.1918502087
146	0.1908952417
147	0.1896165693
148	0.1884187226
149	0.1874573504
150	0.1859326446
151	0.1848579835
152	0.1835529842
153	0.1827555737
154	0.1814606491
155	0.180840019
156	0.1798312422
157	0.1791830848
158	0.1784431736
159	0.1774741681
160	0.1760896333
161	0.1752337643
162	0.1739479665
163	0.1731931073
164	0.1725205926
165	0.1713550742
166	0.1706325904
167	0.1694436844
168	0.1686808509
169	0.1676733039
170	0.1665734105
171	0.1656354237
172	0.1642526273
173	0.1631006082
174	0.1622146883
175	0.1616587468
176	0.1602653705
177	0.1592830357
178	0.1584029521
179	0.157435207
180	0.1562671754
181	0.1549286163
182	0.1538338333
183	0.1530628908
184	0.1524229946
185	0.1514672396
186	0.1502329191
187	0.1489557683
188	0.1484434364
189	0.1476755869
190	0.1471729693
191	0.1460957013
192	0.1451120273
193	0.1445096798
194	0.1432805101
195	0.1422650514
196	0.141430231
